dbn,district,school_dist,school_name,building_id,swd,ell,poverty,location_category_description,grades_text,longitude,latitude,borough_code,counts,opend_year
19K659,19,19,Cypress Hills Collegiate Preparatory School,K420,0.19,0.175,0.917,High school,"09,10,11,12,SE",-73.869305,40.693002,K,5,2008
19K660,19,19,W. H. Maxwell Career and Technical Education High School,K660,0.351,0.119,0.937,High school,"09,10,11,12,SE",-73.895976,40.673766,K,2,1913
19K661,19,19,Vista Academy,K302,0.207,0.091,0.954,Junior High-Intermediate-Middle,"06,07,08,SE",-73.884211,40.677112,K,2,2013
19K662,19,19,Liberty Avenue Middle School,K302,0.22,0.175,0.967,Junior High-Intermediate-Middle,"06,07,08,SE",-73.884211,40.677112,K,2,2013
19K663,19,19,School of the Future Brooklyn,K174,0.355,0.151,0.953,Junior High-Intermediate-Middle,"06,07,08,SE",-73.897604,40.665446,K,2,2013
19K677,19,19,East New York Elementary School of Excellence,K072,0.198,0.132,0.93,Elementary,"PK,0K,01,02,03,04,05,SE",-73.879131,40.669358,K,2,2009
19K678,19,19,East New York Middle School of Excellence,K072,0.277,0.115,0.965,Junior High-Intermediate-Middle,"06,07,08,SE",-73.879131,40.669358,K,2,2009
19K683,19,19,School for Classics High School,K218,0.201,0.28,0.871,High school,"09,10,11,12,SE",-73.874537,40.67002,K,2,2009
19K760,19,19,Highland Park Community School,K171,0.193,0.146,0.893,Junior High-Intermediate-Middle,"06,07,08,SE",-73.869434,40.685852,K,2,2014
19K764,19,19,The Urban Assembly School for Collaborative Healthcare,K420,0.122,0.149,0.782,High school,"09,10,11,12,SE",-73.869305,40.693002,K,5,2014
19K907,19,19,Legacy School of the Arts,K190,0.254,0.041,0.902,Junior High-Intermediate-Middle,"06,07,SE",-73.894877,40.662243,K,2,2018
20K030,20,20,P.S./I.S. 30 Mary White Ovington,K331,0.207,0.191,0.804,K-8,"0K,01,02,03,04,05,06,07,08,SE",-74.02395,40.633598,K,1,1997
20K030,20,20,P.S./I.S. 30 Mary White Ovington, K940,0.207,0.191,0.804,K-8,"0K,01,02,03,04,05,06,07,08,SE",-74.02395,40.633598,K,1,1997
20K104,20,20,P.S./I.S. 104 The Fort Hamilton School,K104,0.152,0.114,0.598,K-8,"0K,01,02,03,04,05,06,07,08,SE",-74.028492,40.618077,K,1,1907
20K163,20,20,P.S. 163 Bath Beach,K807,0.207,0.201,0.803,K-8,"0K,01,02,03,04,05,06,07,08,SE",-74.007469,40.606739,K,1,1909
20K164,20,20,P.S. 164 Caesar Rodney,K164,0.187,0.144,0.834,Elementary,"PK,0K,01,02,03,04,05,SE",-73.985739,40.637101,K,2,1910
20K180,20,20,The SEEALL Academy,K180,0.177,0.257,0.883,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",-73.98925,40.626454,K,2,1925
20K192,20,20,P.S. 192 - The Magnet School for Math and Science Inquiry,K192,0.22,0.26,0.836,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",-73.97954,40.6288,K,2,1924
20K223,20,20,J.H.S. 223 The Montauk,K223,0.161,0.252,0.959,Junior High-Intermediate-Middle,"06,07,08,SE",-73.982424,40.6351,K,2,1930
20K264,20,20,P.S. 264 Bay Ridge Elementary School For The Arts,K264,0.223,0.139,0.644,Elementary,"0K,01,02,03,04,05,SE",-74.029444,40.621025,K,1,2010
20K485,20,20,High School of Telecommunication Arts and Technology,K485,0.189,0.078,0.758,High school,"09,10,11,12,SE",-74.023419,40.636721,K,1,1915
20K503,20,20,P.S. 503: The School of Discovery,K314,0.242,0.542,0.937,Elementary,"0K,01,02,03,04,05,SE",-74.019299,40.64195,K,2,2006
20K506,20,20,P.S. 506: The School of Journalism & Technology,K314,0.232,0.297,0.947,Elementary,"0K,01,02,03,04,05,SE",-74.019299,40.64195,K,2,2006
20K609,20,20,Urban Assembly School for Criminal Justice,K223,0.136,0.129,0.88,Secondary School,"06,07,08,09,10,11,12,SE",-73.982424,40.6351,K,2,2007
